date,quarter,house_id,house_type,sales_type,year_build,%_change_between_offer_and_purchase,rooms,sqm,sqm_price,address,zipcode,city,area,region,nom_interest_rate%,dk_ann_infl_rate%,yield_on_mortgage_credit_bonds%,purchaseprice
9131,106,341809,4,3,1929,-2,6,179,12290.503,61759,7700,519,7,2,0,0.42,1.1,2200000
6793,79,815095,4,3,2015,0,4,161,4844.7207,26726,5210,385,3,1,0,0.79,3.48,780000
9995,116,14314,4,3,1987,-2,4,129,30232.559,1871,4390,583,6,3,3.6,1.13,4.34,3900000
9399,109,249578,4,3,1952,2,5,148,13689.189,11741,5260,386,3,1,0,1.85,1.47,2026000
8775,102,443637,0,3,2020,0,2,119,27689.076,16271,7100,564,7,2,0,0.76,1.35,3295000
9824,114,57694,4,3,1957,0,3,96,13489.583,10993,6000,300,7,2,3.6,3.31,4.79,1295000
9463,110,230966,4,3,1977,-4,5,141,10177.305,14090,6310,81,7,2,0,1.85,1.47,1435000
3382,40,1203420,4,3,1972,0,5,136,7022.0586,55141,8700,243,2,2,2,2.08,5.11,955000
2325,27,1300036,0,3,1966,0,1,39,10641.025,43123,2860,505,1,3,4.25,2.9,7.33,415000
9037,105,375484,2,3,2008,-4,6,130,18461.54,9534,6100,193,7,2,0,0.42,1.1,2400000
9771,113,72178,0,3,1910,-5,2,72,7291.6665,45686,7700,519,7,2,3.1,3.31,4.79,525000
150,1,1465908,4,3,1979,0,5,131,6488.55,1560,8300,380,2,2,6.25,1.99,8.39,850000
6463,75,852817,1,3,1919,0,4,137,13138.687,49060,9240,359,5,2,0.25,2.4,3.66,1800000
7704,90,679277,2,3,2014,0,5,99,17979.799,23057,6100,193,7,2,0,0.25,2.55,1780000
9722,113,83515,4,3,1965,1,4,100,26100,16643,5250,388,3,1,3.1,3.31,4.79,2610000
7727,90,674512,0,3,1963,-2,3,69,17028.986,57487,2630,514,1,3,0,0.25,2.55,1175000
9178,107,327836,4,3,1936,-5,4,112,25446.428,26970,3400,225,4,3,0,1.85,1.47,2850000
8665,101,472268,3,3,2003,0,4,120,27500,40840,3540,328,4,3,0,0.76,1.35,3300000
8683,101,467737,4,2,1971,0,7,197,5076.142,47498,5210,385,3,1,0,0.76,1.35,1000000
6826,80,811103,0,3,1943,0,3,75,15333.333,53704,4700,371,6,3,0,0.79,3.48,1150000
8429,98,527315,4,3,1998,0,5,182,19230.77,29008,6852,57,7,2,0,0.81,2.12,3500000
2162,26,1313518,2,3,1960,0,4,62,6731.9033,55382,4671,492,6,3,3.5,2.9,7.33,417378
9457,110,232730,0,3,2022,0,2,84,18988.096,10959,9800,231,5,2,0,1.85,1.47,1595000
1773,21,1346032,4,3,1973,0,5,165,6515.1514,60209,5450,393,3,1,3.5,2.5,6.6,1075000
3331,39,1208661,2,3,2023,0,4,73,4794.5205,16793,4540,150,6,3,2,2.08,5.11,350000
3190,38,1223215,3,3,1978,0,4,121,7148.7603,34208,7451,497,7,2,2.5,2.08,5.11,865000
1352,16,1379049,4,3,1945,0,4,189,5144.127,40903,9000,3,5,2,3.25,2.18,7.2,972240
4678,54,1044646,4,3,1973,-4,6,158,11234.177,1332,8940,404,2,2,3.75,1.69,5.7,1775000
8175,96,586181,2,3,2019,-4,4,110,3000,1532,6960,253,7,2,0,0.81,2.12,330000
2152,26,1314331,2,3,1965,0,5,81,8851.852,66048,3250,165,4,3,3.5,2.9,7.33,717000
9140,106,338515,0,3,1936,0,2,63,9920.635,18203,4760,591,6,3,0,0.42,1.1,625000
3430,40,1198105,4,3,1976,0,4,150,15000,14787,7900,366,7,2,2,2.08,5.11,2250000
3620,42,1177042,4,3,1932,0,5,120,3333.3333,8342,6372,91,7,2,2,1.15,5.26,400000
2451,29,1290588,3,3,1906,0,4,128,5781.25,16343,6700,120,7,2,4.75,2.34,7.05,740000
9720,113,84004,4,3,1928,0,3,74,10743.243,63337,8700,243,2,2,3.1,3.31,4.79,795000
9129,106,342189,4,3,1974,0,4,164,11554.878,63729,9440,1,5,2,0,0.42,1.1,1895000
6665,78,830319,4,3,2006,-3,5,149,19463.088,8734,5700,500,3,1,0,0.79,3.48,2900000
7521,88,710922,0,3,1890,0,3,79,35379.746,42028,2920,97,1,3,0,0.45,2.78,2795000
9372,109,256947,4,3,1916,0,8,128,7031.25,7815,4305,392,6,3,0,1.85,1.47,900000
5090,59,996240,4,3,1953,0,3,93,3225.8064,65801,6510,177,7,2,4,3.42,6.52,300000
7906,93,641344,4,3,2018,0,6,153,12058.823,13240,3660,479,4,3,0,1.15,2.26,1845000
8850,103,427513,1,3,1890,-2,5,204,7892.1567,53020,9560,196,5,2,0,0.42,1.1,1610000
5484,64,960827,4,2,1939,0,5,122,8444.278,23413,8960,403,2,2,1,1.3,5.5,1030202
1476,17,1369520,2,3,2017,0,4,105,6734.095,34686,3210,561,4,3,3.5,1.85,6.27,707080
2967,35,1243960,2,3,1981,0,4,59,7542.373,63645,9370,197,5,2,3.25,2.42,6.69,445000
6691,78,827441,4,3,2014,0,6,181,5480.663,437,4000,414,6,3,0,0.79,3.48,992000
6149,72,887260,4,3,1967,-3,4,135,6444.4443,36578,7480,580,7,2,1.5,2.76,4.75,870000
10073,117,709037,2,3,1966,0,4,57,19210.525,57381,4500,367,6,3,3.35,1.13,4.34,1095000
2545,30,1282203,4,3,1992,0,6,178,6741.573,20788,5863,135,3,1,4.75,2.34,7.05,1200000
8916,104,413577,2,3,1979,0,3,44,11363.637,62601,6893,218,7,2,0,0.42,1.1,500000
6771,79,817928,2,1,2014,0,4,60,4666.6665,50280,7900,366,7,2,0,0.79,3.48,280000
3235,38,1218894,4,3,1968,0,6,236,7627.1187,34870,3230,184,4,3,2.5,2.08,5.11,1800000
7692,90,681773,4,3,1898,-7,4,125,9680,53031,5600,127,3,1,0,0.25,2.55,1210000
4388,51,1082219,0,3,1899,0,4,138,23913.043,3893,2200,310,1,3,2.75,1.92,5.14,3300000
2121,25,1317397,1,3,1907,0,5,223,6408.072,55209,4733,515,6,3,3,2.9,7.33,1429000
3049,36,1235937,2,3,2008,0,4,133,6090.2256,43616,3360,325,4,3,3.25,2.42,6.69,810000
2500,30,1286283,4,3,1977,0,6,203,4921.182,24666,7800,450,7,2,4.75,2.34,7.05,999000
2420,29,1292917,4,3,1980,0,4,119,4626.0503,36065,9700,88,5,2,4.75,2.34,7.05,550500
4649,54,1048913,4,3,1972,0,4,113,21194.69,53520,3200,216,4,3,3.75,1.69,5.7,2395000
8041,94,612834,4,3,1980,-3,8,169,6840.237,15244,3700,432,0,0,0,1.15,2.26,1156000
4197,49,1107370,4,3,1971,0,4,192,15364.583,34401,4100,412,6,3,2.25,1.92,5.14,2950000
7412,86,728663,4,3,2017,0,6,235,5314.8936,18449,7100,564,7,2,0,0.45,2.78,1249000
5665,66,941506,4,3,1981,-7,4,117,10769.23,10223,9900,143,5,2,0.75,2.31,4.53,1260000
795,9,1421412,4,3,1997,0,4,127,2091.3386,32790,8320,353,2,2,4.25,2.13,7.84,265600
7427,87,725875,4,3,1997,0,7,184,15108.695,34136,8920,402,2,2,0,0.45,2.78,2780000
3375,40,1204156,4,1,1969,0,4,114,6210.772,35451,3250,165,4,3,2,2.08,5.11,708028
9938,115,28782,0,3,1905,-6,3,86,32848.836,62723,8000,8,2,2,3.6,1.13,4.34,2825000
2240,27,1306540,0,3,1923,0,6,124,32258.064,26788,2720,557,1,3,4.25,2.9,7.33,4000000
1456,17,1371157,0,3,1912,0,3,82,6926.829,33213,7400,223,7,2,3.5,1.85,6.27,568000
4471,52,1070464,4,3,1896,0,8,250,6400,45282,4700,371,6,3,3,1.92,5.14,1600000
4412,51,1076952,4,3,1975,0,4,114,26842.105,10694,2791,104,1,3,2.75,1.92,5.14,3060000
5585,65,950518,1,3,1893,0,5,112,14732.143,11261,4291,418,6,3,1,2.31,4.53,1650000
3553,42,1185494,4,3,2005,0,6,220,5886.364,48034,3100,240,4,3,2,1.15,5.26,1295000
